t_s,a_code,b_code,c,d
0.00549,180,112,0,0
0.0055,115,112,0,0
0.00551,115,112,0,0
0.00552,115,112,0,0
0.00553,115,112,0,0
0.00554,115,111,0,0
0.00555,115,112,0,0
0.00556,115,112,0,0
0.00557,115,112,0,0
0.00558,115,112,0,0
0.00559,115,112,0,0
0.0056,115,112,0,0
0.00561,115,112,0,0
0.00562,115,112,0,0
0.00563,115,112,0,0
0.00564,115,111,0,0
0.00565,115,112,0,0
0.00566,115,112,0,0
0.00567,115,112,0,0
0.00568,115,112,0,0
0.00569,115,112,0,0
0.0057,115,112,0,0
0.00571,115,111,0,0
0.00572,115,112,0,0
0.00573,115,112,0,0
0.00574,116,112,0,0
0.00575,115,112,0,0
0.00576,115,112,0,0
0.00577,114,112,0,0
0.00578,115,112,0,0
0.00579,115,112,0,0
0.0058,115,112,0,0
0.00581,115,112,0,0
0.00582,115,112,0,0
0.00583,115,112,0,0
0.00584,115,112,0,0
0.00585,115,112,0,0
0.00586,115,112,0,0
0.00587,115,112,0,0
0.00588,115,112,0,0
0.00589,115,112,0,0
0.0059,115,112,0,0
0.00591,115,112,0,0
0.00592,115,112,0,0
0.00593,115,112,0,0
0.00594,115,112,0,0
0.00595,115,112,0,0
0.00596,115,112,0,0
0.00597,115,112,0,0
0.00598,115,112,0,0
0.00599,115,111,0,0
0.006,180,112,0,0
0.00601,180,111,0,0
0.00602,180,112,0,0
0.00603,180,112,0,0
0.00604,179,112,0,0
0.00605,180,111,0,0
0.00606,180,112,0,0
0.00607,179,111,0,0
0.00608,180,112,0,0
0.00609,179,112,0,0
0.0061,180,112,0,0
0.00611,180,111,0,0
0.00612,179,112,0,0
0.00613,179,112,0,0
0.00614,179,112,0,0
0.00615,180,111,0,0
0.00616,180,112,0,0
0.00617,179,112,0,0
0.00618,179,111,0,0
0.00619,179,111,0,0
0.0062,180,111,0,0
0.00621,180,112,0,0
0.00622,180,112,0,0
0.00623,180,112,0,0
0.00624,179,112,0,0
0.00625,180,112,0,0
0.00626,180,112,0,0
0.00627,180,111,0,0
0.00628,179,112,0,0
0.00629,180,111,0,0
0.0063,180,112,0,0
0.00631,180,112,0,0
0.00632,179,112,0,0
0.00633,180,111,0,0
0.00634,179,111,0,0
0.00635,179,112,0,0
0.00636,180,112,0,0
0.00637,179,111,0,0
0.00638,180,111,0,0
0.00639,179,112,0,0
0.0064,180,112,0,0
0.00641,180,112,0,0
0.00642,180,112,0,0
0.00643,180,112,0,0
0.00644,179,112,0,0
0.00645,180,112,0,0
0.00646,180,112,0,0
0.00647,180,112,0,0
0.00648,180,112,0,0
0.00649,179,112,0,0
0.0065,114,112,0,0
0.00651,115,112,0,0
0.00652,115,112,0,0
0.00653,115,112,0,0
0.00654,115,112,0,0
0.00655,115,112,0,0
0.00656,115,112,0,0
0.00657,115,112,0,0
0.00658,115,112,0,0
0.00659,115,112,0,0
0.0066,115,112,0,0
0.00661,115,112,0,0
0.00662,115,112,0,0
0.00663,115,112,0,0
0.00664,115,112,0,0
0.00665,115,112,0,0
0.00666,115,111,0,0
0.00667,115,112,0,0
0.00668,115,111,0,0
0.00669,115,112,0,0
0.0067,115,112,0,0
0.00671,115,112,0,0
0.00672,115,111,0,0
0.00673,115,112,0,0
0.00674,115,112,0,0
0.00675,115,112,0,0
0.00676,115,112,0,0
0.00677,115,112,0,0
0.00678,115,112,0,0
0.00679,115,112,0,0
0.0068,115,112,0,0
0.00681,115,112,0,0
0.00682,115,112,0,0
0.00683,115,112,0,0
0.00684,115,112,0,0
0.00685,115,112,0,0
0.00686,115,111,0,0
0.00687,115,112,0,0
0.00688,115,112,0,0
0.00689,115,112,0,0
0.0069,115,112,0,0
0.00691,115,112,0,0
0.00692,115,112,0,0
0.00693,115,112,0,0
0.00694,115,112,0,0
0.00695,115,112,0,0
0.00696,115,111,0,0
0.00697,115,112,0,0
0.00698,115,111,0,0
0.00699,115,112,0,0
0.007,179,112,0,0
0.00701,179,112,0,0
0.00702,180,112,0,0
0.00703,179,111,0,0
0.00704,179,112,0,0
0.00705,179,112,0,0
0.00706,179,112,0,0
0.00707,180,111,0,0
0.00708,180,112,0,0
0.00709,180,111,0,0
0.0071,179,112,0,0
0.00711,180,112,0,0
